timestamp_utc,root_version,threads,repeat,max_cross_slot_event_ids,max_same_slot_revisited_event_ids,max_multi_range_event_ids
2026-09-25T15:07:05+00:00,6.36.02,1,1,0,0,0
2026-09-25T15:07:05+00:00,6.36.02,1,2,0,0,0
2026-09-25T15:07:05+00:00,6.36.02,2,1,1,0,18
2026-09-25T15:07:05+00:00,6.36.02,2,2,4,0,18
2026-09-25T15:07:05+00:00,6.36.02,4,1,4,0,35
2026-09-25T15:07:05+00:00,6.36.02,4,2,6,0,35
2026-09-25T15:07:05+00:00,6.36.02,8,1,21,0,67
2026-09-25T15:07:05+00:00,6.36.02,8,2,22,1,67
2026-09-25T15:07:05+00:00,6.36.02,16,1,47,0,67
2026-09-25T15:07:05+00:00,6.36.02,16,2,34,1,67
2026-09-25T15:07:05+00:00,6.36.02,32,1,54,2,67
2026-09-25T15:07:05+00:00,6.36.02,32,2,52,0,67
