threads,repeat,histogram,bin,bin_label,content,exact_error,approx_error,rowwise_error,error_difference,relative_difference_pct,rowwise_relative_difference_pct
1,1,nMuon,0,underflow,0.0,0.0,0.0,0.0,0.0,,
1,1,nMuon,1,0.0,10149.666666666548,99.12562175789297,99.12562175789297,33.58185135963418,0.0,0.0,-66.12192613363337
1,1,nMuon,2,1.0,27232.333333335817,158.30323300631056,158.30323300631056,55.0074069086762,0.0,0.0,-65.25187397374039
1,1,nMuon,3,2.0,36635.555555559105,177.91224081582084,177.91224081582084,63.801389357622405,0.0,0.0,-64.13884223757758
1,1,nMuon,4,3.0,4460.555555556856,35.62787783481111,35.62787783481111,22.262463564279955,0.0,0.0,-37.51392191390121
1,1,nMuon,5,4.0,362.77777777776504,7.909207011803251,7.909207011803251,6.3489087231829755,0.0,0.0,-19.72761980172949
1,1,nMuon,6,overflow,24.11111111111105,1.959465787616491,1.959465787616491,1.6367688736284736,0.0,0.0,-16.46861690708815
1,1,nGenJet,0,underflow,0.0,0.0,0.0,0.0,0.0,,
1,1,nGenJet,1,0.0,407.0,20.174241001832016,20.174241001832016,6.72474700061077,0.0,0.0,-66.66666666666619
1,1,nGenJet,2,1.0,669.0,25.865034312755125,25.865034312755125,8.621678104251812,0.0,0.0,-66.66666666666626
1,1,nGenJet,3,2.0,21490.0,146.59467930317254,146.59467930317254,48.86489310101126,0.0,0.0,-66.66666666669822
1,1,nGenJet,4,3.0,18480.0,135.94116374373144,135.94116374373144,45.313721247823686,0.0,0.0,-66.6666666667305
1,1,nGenJet,5,4.0,14582.0,120.75595223424807,120.75595223424807,40.251984078029025,0.0,0.0,-66.66666666671111
1,1,nGenJet,6,overflow,23237.0,152.43687217992897,152.43687217992897,50.81229072661762,0.0,0.0,-66.66666666668331
1,1,selected_nMuon,0,underflow,0.0,0.0,0.0,0.0,0.0,,
1,1,selected_nMuon,1,0.0,1697.5555555554693,30.68477726097405,30.68477726097405,13.733800783128036,0.0,0.0,-55.24229924720636
1,1,selected_nMuon,2,1.0,10569.111111112772,83.37969080961048,83.37969080961048,34.2687274203723,0.0,0.0,-58.90039038568558
1,1,selected_nMuon,3,2.0,34096.11111111553,171.97369164290888,171.97369164290888,61.55044102305807,0.0,0.0,-64.2093854966705
1,1,selected_nMuon,4,3.0,4233.111111112219,34.529286192133064,34.529286192133064,21.687454415228192,0.0,0.0,-37.19113017699935
1,1,selected_nMuon,5,4.0,352.55555555554423,7.781745019952628,7.781745019952628,6.2588209357811815,0.0,0.0,-19.57047012291746
1,1,selected_nMuon,6,overflow,23.444444444444386,1.9404721329525556,1.9404721329525556,1.6139821162593306,0.0,0.0,-16.825287575578272
1,2,nMuon,0,underflow,0.0,0.0,0.0,0.0,0.0,,
1,2,nMuon,1,0.0,10149.666666666548,99.12562175789297,99.12562175789297,33.58185135963418,0.0,0.0,-66.12192613363337
1,2,nMuon,2,1.0,27232.333333335817,158.30323300631056,158.30323300631056,55.0074069086762,0.0,0.0,-65.25187397374039
1,2,nMuon,3,2.0,36635.555555559105,177.91224081582084,177.91224081582084,63.801389357622405,0.0,0.0,-64.13884223757758
1,2,nMuon,4,3.0,4460.555555556856,35.62787783481111,35.62787783481111,22.262463564279955,0.0,0.0,-37.51392191390121
1,2,nMuon,5,4.0,362.77777777776504,7.909207011803251,7.909207011803251,6.3489087231829755,0.0,0.0,-19.72761980172949
1,2,nMuon,6,overflow,24.11111111111105,1.959465787616491,1.959465787616491,1.6367688736284736,0.0,0.0,-16.46861690708815
1,2,nGenJet,0,underflow,0.0,0.0,0.0,0.0,0.0,,
1,2,nGenJet,1,0.0,407.0,20.174241001832016,20.174241001832016,6.72474700061077,0.0,0.0,-66.66666666666619
1,2,nGenJet,2,1.0,669.0,25.865034312755125,25.865034312755125,8.621678104251812,0.0,0.0,-66.66666666666626
1,2,nGenJet,3,2.0,21490.0,146.59467930317254,146.59467930317254,48.86489310101126,0.0,0.0,-66.66666666669822
1,2,nGenJet,4,3.0,18480.0,135.94116374373144,135.94116374373144,45.313721247823686,0.0,0.0,-66.6666666667305
1,2,nGenJet,5,4.0,14582.0,120.75595223424807,120.75595223424807,40.251984078029025,0.0,0.0,-66.66666666671111
1,2,nGenJet,6,overflow,23237.0,152.43687217992897,152.43687217992897,50.81229072661762,0.0,0.0,-66.66666666668331
1,2,selected_nMuon,0,underflow,0.0,0.0,0.0,0.0,0.0,,
1,2,selected_nMuon,1,0.0,1697.5555555554693,30.68477726097405,30.68477726097405,13.733800783128036,0.0,0.0,-55.24229924720636
1,2,selected_nMuon,2,1.0,10569.111111112772,83.37969080961048,83.37969080961048,34.2687274203723,0.0,0.0,-58.90039038568558
1,2,selected_nMuon,3,2.0,34096.11111111553,171.97369164290888,171.97369164290888,61.55044102305807,0.0,0.0,-64.2093854966705
1,2,selected_nMuon,4,3.0,4233.111111112219,34.529286192133064,34.529286192133064,21.687454415228192,0.0,0.0,-37.19113017699935
1,2,selected_nMuon,5,4.0,352.55555555554423,7.781745019952628,7.781745019952628,6.2588209357811815,0.0,0.0,-19.57047012291746
1,2,selected_nMuon,6,overflow,23.444444444444386,1.9404721329525556,1.9404721329525556,1.6139821162593306,0.0,0.0,-16.825287575578272
2,1,nMuon,0,underflow,0.0,0.0,0.0,0.0,0.0,,
2,1,nMuon,1,0.0,10149.666666666595,99.12562175789336,99.12562175789336,33.58185135964662,0.0,0.0,-66.12192613362095
2,1,nMuon,2,1.0,27232.33333333134,158.30323300630164,158.30323300630167,55.00740690859713,2.842170943040401e-14,2.220446049250313e-14,-65.25187397378838
2,1,nMuon,3,2.0,36635.55555555428,177.91224081580185,177.91140811033893,63.801389357418344,-0.000832705462926242,-0.000468042816559322,-64.13884223768844
2,1,nMuon,4,3.0,4460.555555555215,35.627877834813944,35.627531315745166,22.26246356427728,-0.00034651906877769534,-0.0009726065368975689,-37.513921913913684
2,1,nMuon,5,4.0,362.77777777778493,7.909207011803036,7.909207011803036,6.3489087231828325,0.0,0.0,-19.727619801729123
2,1,nMuon,6,overflow,24.111111111111065,1.9594657876164907,1.9594657876164907,1.636768873628473,0.0,0.0,-16.468616907088172
2,1,nGenJet,0,underflow,0.0,0.0,0.0,0.0,0.0,,
2,1,nGenJet,1,0.0,407.0,20.174241001832016,20.174241001832016,6.724747000610529,0.0,0.0,-66.66666666666737
2,1,nGenJet,2,1.0,669.0,25.865034312755125,25.865034312755125,8.621678104251655,0.0,0.0,-66.66666666666687
2,1,nGenJet,3,2.0,21490.0,146.59467930317254,146.59467930317254,48.8648931010425,0.0,0.0,-66.66666666667692
2,1,nGenJet,4,3.0,18480.0,135.94116374373144,135.94116374373144,45.31372124792008,0.0,0.0,-66.66666666665961
2,1,nGenJet,5,4.0,14582.0,120.75595223424807,120.75595223424807,40.251984078095745,0.0,0.0,-66.66666666665586
2,1,nGenJet,6,overflow,23237.0,152.43687217992897,152.43525239536788,50.81229072661249,-0.001619784561086135,-0.001062593674305834,-66.66666666668668
2,1,selected_nMuon,0,underflow,0.0,0.0,0.0,0.0,0.0,,
2,1,selected_nMuon,1,0.0,1697.555555555505,30.684777260973696,30.6847772609737,13.733800783126522,3.552713678800501e-15,2.220446049250313e-14,-55.24229924721077
2,1,selected_nMuon,2,1.0,10569.111111111903,83.37969080961375,83.37969080961375,34.26872742039077,0.0,0.0,-58.90039038566505
2,1,selected_nMuon,3,2.0,34096.11111110851,171.97369164289458,171.97283018252938,61.550441022873315,-0.0008614603652006281,-0.0005009256689003649,-64.20938549677497
2,1,selected_nMuon,4,3.0,4233.111111110679,34.52928619213459,34.52892864802371,21.687454415225446,-0.00035754411088362303,-0.0010354807478352157,-37.19113017701009
