threads,histogram,bin,bin_label,runs,mean_content,mean_exact_error,mean_approx_error,mean_rowwise_error,mean_relative_difference_pct,min_relative_difference_pct,max_relative_difference_pct,mean_rowwise_relative_difference_pct
1,nGenJet,0,underflow,2,0.0,0.0,0.0,0.0,,,,
1,nGenJet,1,0.0,2,407.0,20.174241001832016,20.174241001832016,6.72474700061077,0.0,0.0,0.0,-66.66666666666619
1,nGenJet,2,1.0,2,669.0,25.865034312755125,25.865034312755125,8.621678104251812,0.0,0.0,0.0,-66.66666666666626
1,nGenJet,3,2.0,2,21490.0,146.59467930317254,146.59467930317254,48.86489310101126,0.0,0.0,0.0,-66.66666666669822
1,nGenJet,4,3.0,2,18480.0,135.94116374373144,135.94116374373144,45.313721247823686,0.0,0.0,0.0,-66.6666666667305
1,nGenJet,5,4.0,2,14582.0,120.75595223424807,120.75595223424807,40.251984078029025,0.0,0.0,0.0,-66.66666666671111
1,nGenJet,6,overflow,2,23237.0,152.43687217992897,152.43687217992897,50.81229072661762,0.0,0.0,0.0,-66.66666666668331
1,nMuon,0,underflow,2,0.0,0.0,0.0,0.0,,,,
1,nMuon,1,0.0,2,10149.666666666548,99.12562175789297,99.12562175789297,33.58185135963418,0.0,0.0,0.0,-66.12192613363337
1,nMuon,2,1.0,2,27232.333333335817,158.30323300631056,158.30323300631056,55.0074069086762,0.0,0.0,0.0,-65.25187397374039
1,nMuon,3,2.0,2,36635.555555559105,177.91224081582084,177.91224081582084,63.801389357622405,0.0,0.0,0.0,-64.13884223757758
1,nMuon,4,3.0,2,4460.555555556856,35.62787783481111,35.62787783481111,22.262463564279955,0.0,0.0,0.0,-37.51392191390121
1,nMuon,5,4.0,2,362.77777777776504,7.909207011803251,7.909207011803251,6.3489087231829755,0.0,0.0,0.0,-19.72761980172949
1,nMuon,6,overflow,2,24.11111111111105,1.959465787616491,1.959465787616491,1.6367688736284736,0.0,0.0,0.0,-16.46861690708815
1,selected_nMuon,0,underflow,2,0.0,0.0,0.0,0.0,,,,
1,selected_nMuon,1,0.0,2,1697.5555555554693,30.68477726097405,30.68477726097405,13.733800783128036,0.0,0.0,0.0,-55.24229924720636
1,selected_nMuon,2,1.0,2,10569.111111112772,83.37969080961048,83.37969080961048,34.2687274203723,0.0,0.0,0.0,-58.90039038568558
1,selected_nMuon,3,2.0,2,34096.11111111553,171.97369164290888,171.97369164290888,61.55044102305807,0.0,0.0,0.0,-64.2093854966705
1,selected_nMuon,4,3.0,2,4233.111111112219,34.529286192133064,34.529286192133064,21.687454415228192,0.0,0.0,0.0,-37.19113017699935
1,selected_nMuon,5,4.0,2,352.55555555554423,7.781745019952628,7.781745019952628,6.2588209357811815,0.0,0.0,0.0,-19.57047012291746
1,selected_nMuon,6,overflow,2,23.444444444444386,1.9404721329525556,1.9404721329525556,1.6139821162593306,0.0,0.0,0.0,-16.825287575578272
2,nGenJet,0,underflow,2,0.0,0.0,0.0,0.0,,,,
2,nGenJet,1,0.0,2,407.0,20.174241001832016,20.174241001832016,6.724747000610529,0.0,0.0,0.0,-66.66666666666737
2,nGenJet,2,1.0,2,669.0,25.865034312755125,25.865034312755125,8.621678104251686,0.0,0.0,0.0,-66.66666666666674
2,nGenJet,3,2.0,2,21490.0,146.59467930317254,146.59350026381634,48.8648931010391,-0.0008042852317757809,-0.0016085704635515619,0.0,-66.66666666667923
2,nGenJet,4,3.0,2,18480.0,135.94116374373144,135.94116374373144,45.31372124791215,0.0,0.0,0.0,-66.66666666666544
2,nGenJet,5,4.0,2,14582.0,120.75595223424807,120.75523657374723,40.251984078095745,-0.0005926502897879438,-0.0011853005795758875,0.0,-66.66666666665586
2,nGenJet,6,overflow,2,23237.0,152.43687217992897,152.43525239536788,50.81229072661203,-0.001062593674305834,-0.001062593674305834,-0.001062593674305834,-66.66666666668698
2,nMuon,0,underflow,2,0.0,0.0,0.0,0.0,,,,
2,nMuon,1,0.0,2,10149.666666666591,99.12562175789331,99.1243762843302,33.58185135964662,-0.0012564597740072347,-0.0025129195480144695,0.0,-66.12192613362093
2,nMuon,2,1.0,2,27232.333333331335,158.30323300630164,158.30323300630167,55.00740690859713,2.220446049250313e-14,2.220446049250313e-14,2.220446049250313e-14,-65.25187397378838
2,nMuon,3,2.0,2,36635.55555555463,177.9122408158031,177.91074888119658,63.80138935744081,-0.0008385789531162313,-0.0012091150896731406,-0.000468042816559322,-64.13884223767607
2,nMuon,4,3.0,2,4460.5555555553365,35.62787783481399,35.62753131574521,22.26246356427728,-0.0009726065368975689,-0.0009726065368975689,-0.0009726065368975689,-37.51392191391376
2,nMuon,5,4.0,2,362.77777777778493,7.909207011803056,7.909207011803056,6.3489087231828325,0.0,0.0,0.0,-19.72761980172932
2,nMuon,6,overflow,2,24.111111111111065,1.9594657876164907,1.9594657876164907,1.636768873628473,0.0,0.0,0.0,-16.468616907088172
2,selected_nMuon,0,underflow,2,0.0,0.0,0.0,0.0,,,,
2,selected_nMuon,1,0.0,2,1697.5555555555047,30.684777260973725,30.684777260973725,13.733800783126522,1.1102230246251565e-14,0.0,2.220446049250313e-14,-55.24229924721081
2,selected_nMuon,2,1.0,2,10569.111111111897,83.3796908096136,83.3796908096136,34.26872742039077,0.0,0.0,0.0,-58.90039038566498
2,selected_nMuon,3,2.0,2,34096.111111109225,171.9736916428951,171.97214818866138,61.550441022891796,-0.0008974943893735876,-0.0012940631098468103,-0.0005009256689003649,-64.20938549676433
2,selected_nMuon,4,3.0,2,4233.111111110816,34.52928619213468,34.52892864802379,21.687454415225446,-0.0010354807478241135,-0.0010354807478352157,-0.0010354807478130112,-37.191130177010244
2,selected_nMuon,5,4.0,2,352.5555555555625,7.7817450199524325,7.7817450199524325,6.258820935781063,0.0,0.0,0.0,-19.57047012291696
2,selected_nMuon,6,overflow,2,23.4444444444444,1.9404721329525554,1.9404721329525554,1.61398211625933,0.0,0.0,0.0,-16.825287575578297
4,nGenJet,0,underflow,2,0.0,0.0,0.0,0.0,,,,
4,nGenJet,1,0.0,2,407.0,20.174241001832016,20.174241001832016,6.7247470006106145,0.0,0.0,0.0,-66.66666666666696
4,nGenJet,2,1.0,2,669.0,25.865034312755125,25.865034312755125,8.62167810425155,0.0,0.0,0.0,-66.66666666666727
4,nGenJet,3,2.0,2,21490.0,146.59467930317254,146.59122638812136,48.86489310107208,-0.0023554163545325135,-0.0027575652083222657,-0.0019532675007427613,-66.66666666665672
4,nGenJet,4,3.0,2,18480.0,135.94116374373144,135.939529039774,45.31372124792325,-0.001202508432640581,-0.001202508432640581,-0.001202508432640581,-66.66666666665728
4,nGenJet,5,4.0,2,14582.0,120.75595223424807,120.75523657374723,40.25198407809278,-0.0005926502897879438,-0.0011853005795758875,0.0,-66.6666666666583
4,nGenJet,6,overflow,2,23237.0,152.43687217992897,152.43525239536788,50.81229072665852,-0.001062593674305834,-0.001062593674305834,-0.001062593674305834,-66.66666666665648
4,nMuon,0,underflow,2,0.0,0.0,0.0,0.0,,,,
4,nMuon,1,0.0,2,10149.666666666659,99.12562175789297,99.12375355341672,33.581851359643075,-0.0018846837408159622,-0.0018846837408159622,-0.0018846837408159622,-66.1219261336244
4,nMuon,2,1.0,2,27232.333333332273,158.3032330062983,158.30190721216184,55.00740690867682,-0.0008375028805795992,-0.001083828199477388,-0.0005911775616818105,-65.2518739737373
4,nMuon,3,2.0,2,36635.55555555434,177.91224081579412,177.9098120805115,63.80138935754104,-0.0013651310733275857,-0.0014821431010170194,-0.001248119045638152,-64.13884223761794
4,nMuon,4,3.0,2,4460.555555555184,35.62787783481362,35.62753131574485,22.262463564272487,-0.0009726065368753645,-0.0009726065368753645,-0.0009726065368753645,-37.513921913926566
